Reference, Quantity, Value, Footprint, Datasheet
A1 A2 A3 ,3,"Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
C1 ,1,"STP1","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C2 ,1,"STP2","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C3 ,1,"STP3","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
C4 C7 ,2,"1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C5 ,1,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C6 ,1,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D1 ,1,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
J1 ,1,"STEPPER_1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
J10 ,1,"F06","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J11 ,1,"F07","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J12 ,1,"F08","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J13 ,1,"F09","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J14 ,1,"F10","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J15 ,1,"F11","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J16 ,1,"F12","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J17 ,1,"F13","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J18 ,1,"F14","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J19 ,1,"F15","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J2 ,1,"STEPPER_2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
J20 ,1,"F16","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J21 ,1,"F17","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J22 ,1,"F18","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J23 ,1,"F19","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J24 ,1,"F20","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J25 ,1,"F25","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J26 ,1,"F26","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J27 ,1,"F27","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J28 ,1,"F28","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J29 ,1,"F21","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J3 ,1,"STEPPER_3","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~"
J30 ,1,"F22","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J31 ,1,"F23","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J32 ,1,"F24","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J33 ,1,"F29","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J34 ,1,"F30","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J35 ,1,"F31","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J36 ,1,"F32","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J37 ,1,"Screw_Terminal_01x03","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-3-3-5.08_1x03_P5.08mm_Horizontal","~"
J38 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~"
J39 ,1,"SERIAL_INTERFACE","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J4 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Molex-105017-0001","~"
J5 ,1,"F01","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J6 ,1,"F02","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J7 ,1,"F03","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J8 ,1,"F04","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J9 ,1,"F05","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
JP10 JP13 JP16 JP17 ,4,"A2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP11 JP14 JP18 JP19 ,4,"A1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP12 JP15 JP20 JP21 ,4,"A0","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP1 JP4 JP7 ,3,"M0","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP2 JP5 JP8 ,3,"M1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP3 JP6 JP9 ,3,"M2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
R1 R2 ,2,"22R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 ,13,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R16 ,1,"470R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
SW1 ,1,"SW_Push_Dual","Button_Switch_SMD:SW_SPST_B3S-1000",""
U1 ,1,"MCP23017_SO_2","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf"
U2 ,1,"ATmega32U4-AU","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-7766-8-bit-AVR-ATmega16U4-32U4_Datasheet.pdf"
U3 ,1,"MCP23017_SO_3","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf"
U4 ,1,"MCP23017_SO_1","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf"
U5 ,1,"MCP23017_SO_4","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001952C.pdf"
Y1 ,1,"16MHz","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~"